District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Kolhapur,Maharashtra,365,64,2.88,1.69,13.74,11.75,-1.19,0.411,0.469,0.366,8.97,162.9
Yadgir,Karnataka,365,111,5.42,1.74,12.27,11.72,-3.68,0.444,0.378,0.538,17.61,61.6
Rajnandgaon,Chhattisgarh,365,119,6.34,3.85,11.64,11.71,-2.49,0.675,0.647,0.706,18.98,66.0
Balod,Chhattisgarh,365,119,6.34,4.1,11.66,11.71,-2.24,0.687,0.672,0.702,19.08,55.3
Jamui,Bihar,365,94,4.81,4.46,13.26,11.67,-0.35,0.61,0.681,0.552,17.93,92.4
Begusarai,Bihar,365,73,3.4,3.32,12.67,11.67,-0.09,0.448,0.562,0.373,15.15,80.5
Dhalai,Tripura,365,103,4.66,6.55,12.98,11.56,1.89,0.608,0.806,0.488,16.25,89.6
Nalanda,Bihar,365,99,4.53,4.34,13.02,11.5,-0.19,0.692,0.747,0.643,17.87,103.4
Mahasamund,Chhattisgarh,365,108,5.56,3.34,12.72,11.5,-2.22,0.655,0.676,0.635,16.65,66.8
Guntur,Andhra Pradesh,365,83,4.45,2.1,11.77,11.4,-2.35,0.426,0.47,0.39,14.55,91.6
Pakur,Jharkhand,365,108,4.66,7.1,11.08,11.4,2.44,0.645,0.75,0.566,21.11,51.3
Buxar,Bihar,365,97,4.2,3.26,12.1,11.39,-0.94,0.46,0.474,0.447,18.3,107.2
Khowai,Tripura,365,98,4.66,6.84,12.22,11.34,2.19,0.611,0.827,0.485,16.91,56.4
Boudh,Odisha,365,99,5.24,5.85,11.76,11.29,0.61,0.684,0.818,0.587,15.52,76.8
Nagpur,Maharashtra,365,97,4.71,3.46,12.47,11.29,-1.25,0.716,0.701,0.731,14.76,92.0
Narayanpet,Telangana,365,119,4.68,1.97,11.29,11.29,-2.71,0.406,0.336,0.513,17.47,106.6
